id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_proveedor,ramo,cobertura,ciudad,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,suma_asegurada,estado,descripcion,documentos_completos,etiqueta_fraude_simulada,fecha_inicio_poliza,fecha_fin_poliza,historial_siniestros_asegurado,score_heuristico,prediccion_ml,probabilidad_ml,score_final,nivel_riesgo,reglas_criticas_activadas,factores_principales,explicacion_final,accion_sugerida,mensaje_ia,en_lista_restrictiva
SIN-2026-1011,POL-2011,ASEG-014,VEH-011,PROV-010,Vehículos,Daños a terceros,Guayaquil,2025-11-13,2025-12-22,15730,12489,0,19519,Pendiente,Robo del vehículo en estacionamiento no vigilado durante horas de la noche.,false,0,2025-07-28,2026-07-11,5,99,1,0.72,99,ROJO,RF-02,Siniestro ocurrido cerca del inicio de la póliza; Documentación incompleta o ilegible; Reporte tardío del siniestro,Se activaron reglas críticas (RF-02). El análisis heurístico arrojó un score de 99/100 (Siniestro ocurrido cerca del inicio de la póliza; Documentación incompleta o ilegible; Reporte tardío del siniestro). El modelo ML estimó una probabilidad de fraude del 72% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1012,POL-2012,ASEG-031,,PROV-004,Hogar,Incendio,Quito,2025-10-01,2025-11-09,23517,22056,0,31432,Pendiente,Daños por incendio de origen eléctrico en la vivienda asegurada.,false,1,2025-04-23,2026-04-06,7,6,1,0.81,86,ROJO,RF-01,Proveedor con historial recurrente de alertas; Siniestro ocurrido cerca del inicio de la póliza; Inconsistencia entre el informe pericial y la denuncia,Se activaron reglas críticas (RF-01). El análisis heurístico arrojó un score de 86/100 (Proveedor con historial recurrente de alertas; Siniestro ocurrido cerca del inicio de la póliza; Inconsistencia entre el informe pericial y la denuncia). El modelo ML estimó una probabilidad de fraude del 81% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1013,POL-2013,ASEG-029,,PROV-003,Vida,Renta,Manta,2025-12-27,2025-12-28,58157,44994,0,71601,En análisis,Reclamo por fallecimiento del titular; pendiente documentación complementaria.,false,1,2025-09-26,2026-09-17,7,88,1,0.76,94,ROJO,"RF-04,RF-01",Proveedor con historial recurrente de alertas; Inconsistencia entre el informe pericial y la denuncia; Documentación incompleta o ilegible,"Se activaron reglas críticas (RF-04,RF-01). El análisis heurístico arrojó un score de 94/100 (Proveedor con historial recurrente de alertas; Inconsistencia entre el informe pericial y la denuncia; Documentación incompleta o ilegible). El modelo ML estimó una probabilidad de fraude del 76% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.",Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1014,POL-2014,ASEG-026,,PROV-005,Vida,Fallecimiento,Ambato,2025-12-25,2025-12-26,94674,83869,0,99594,Pendiente,Reclamo por fallecimiento del titular; pendiente documentación complementaria.,false,1,2025-03-04,2026-03-16,6,61,1,0.6,86,ROJO,"RF-02,RF-04",Documentación incompleta o ilegible; Inconsistencia entre el informe pericial y la denuncia; Siniestro ocurrido cerca del inicio de la póliza,"Se activaron reglas críticas (RF-02,RF-04). El análisis heurístico arrojó un score de 86/100 (Documentación incompleta o ilegible; Inconsistencia entre el informe pericial y la denuncia; Siniestro ocurrido cerca del inicio de la póliza). El modelo ML estimó una probabilidad de fraude del 60% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.",Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1015,POL-2015,ASEG-024,,PROV-007,Salud,Emergencia,Cuenca,2025-10-18,2025-11-28,20088,16764,0,23572,Pendiente,Reclamo por hospitalización de emergencia con intervención quirúrgica.,true,1,2025-07-26,2026-07-02,4,2,1,0.78,96,ROJO,RF-01,Reporte tardío del siniestro; Historial elevado de reclamos del asegurado; Proveedor con historial recurrente de alertas,Se activaron reglas críticas (RF-01). El análisis heurístico arrojó un score de 96/100 (Reporte tardío del siniestro; Historial elevado de reclamos del asegurado; Proveedor con historial recurrente de alertas). El modelo ML estimó una probabilidad de fraude del 78% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1016,POL-2016,ASEG-055,,PROV-007,Vida,Invalidez,Guayaquil,2025-11-20,2025-12-21,83351,63095,0,111461,Pendiente,Solicitud de indemnización por invalidez parcial permanente.,false,1,2025-07-08,2026-07-05,4,21,1,0.52,86,ROJO,RF-02,Documentación incompleta o ilegible; Similitud narrativa con otros siniestros; Siniestro ocurrido cerca del inicio de la póliza,Se activaron reglas críticas (RF-02). El análisis heurístico arrojó un score de 86/100 (Documentación incompleta o ilegible; Similitud narrativa con otros siniestros; Siniestro ocurrido cerca del inicio de la póliza). El modelo ML estimó una probabilidad de fraude del 52% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1017,POL-2017,ASEG-007,,PROV-007,Hogar,Incendio,Guayaquil,2025-10-15,2025-11-19,10689,9862,0,12941,En análisis,Daños por incendio de origen eléctrico en la vivienda asegurada.,false,1,2025-04-09,2026-04-15,3,57,0,0.44,85,ROJO,"RF-02,RF-04",Reporte tardío del siniestro; Similitud narrativa con otros siniestros; Siniestro ocurrido cerca del inicio de la póliza,"Se activaron reglas críticas (RF-02,RF-04). El análisis heurístico arrojó un score de 85/100 (Reporte tardío del siniestro; Similitud narrativa con otros siniestros; Siniestro ocurrido cerca del inicio de la póliza). El modelo ML no identificó patrones históricos de alto riesgo (probabilidad 44%). El caso presenta riesgo ALTO y requiere revisión prioritaria.",Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1018,POL-2018,ASEG-033,VEH-018,PROV-003,Vehículos,Colisión,Guayaquil,2025-10-27,2025-11-28,13587,11023,0,17697,En análisis,Pérdida total declarada tras incidente vial; el vehículo no fue recuperado.,false,1,2025-02-04,2026-02-16,6,91,1,0.77,82,ROJO,RF-01,Monto reclamado atípico respecto a la suma asegurada; Proveedor con historial recurrente de alertas; Siniestro ocurrido cerca del inicio de la póliza,Se activaron reglas críticas (RF-01). El análisis heurístico arrojó un score de 82/100 (Monto reclamado atípico respecto a la suma asegurada; Proveedor con historial recurrente de alertas; Siniestro ocurrido cerca del inicio de la póliza). El modelo ML estimó una probabilidad de fraude del 77% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1019,POL-2019,ASEG-040,,PROV-002,Hogar,Robo domiciliario,Manta,2025-12-15,2025-12-20,23485,20092,0,28682,En análisis,Daños por incendio de origen eléctrico en la vivienda asegurada.,false,1,2025-08-09,2026-08-19,2,80,1,0.64,92,ROJO,RF-01,Similitud narrativa con otros siniestros; Monto reclamado atípico respecto a la suma asegurada; Inconsistencia entre el informe pericial y la denuncia,Se activaron reglas críticas (RF-01). El análisis heurístico arrojó un score de 92/100 (Similitud narrativa con otros siniestros; Monto reclamado atípico respecto a la suma asegurada; Inconsistencia entre el informe pericial y la denuncia). El modelo ML estimó una probabilidad de fraude del 64% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1020,POL-2020,ASEG-035,,PROV-010,Salud,Ambulatorio,Manta,2025-11-03,2025-12-23,7046,5314,0,9151,En análisis,Atención médica de urgencia tras accidente doméstico.,false,1,2025-03-19,2026-03-11,2,83,1,0.81,84,ROJO,RF-01,Historial elevado de reclamos del asegurado; Reporte tardío del siniestro; Proveedor con historial recurrente de alertas,Se activaron reglas críticas (RF-01). El análisis heurístico arrojó un score de 84/100 (Historial elevado de reclamos del asegurado; Reporte tardío del siniestro; Proveedor con historial recurrente de alertas). El modelo ML estimó una probabilidad de fraude del 81% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1021,POL-2021,ASEG-001,,PROV-008,Vida,Fallecimiento,Quito,2025-10-23,2025-11-28,69590,53356,0,93762,Pendiente,Solicitud de indemnización por invalidez parcial permanente.,false,1,2025-08-20,2026-08-14,6,81,1,0.53,99,ROJO,RF-02,Reporte tardío del siniestro; Historial elevado de reclamos del asegurado; Documentación incompleta o ilegible,Se activaron reglas críticas (RF-02). El análisis heurístico arrojó un score de 99/100 (Reporte tardío del siniestro; Historial elevado de reclamos del asegurado; Documentación incompleta o ilegible). El modelo ML estimó una probabilidad de fraude del 53% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1022,POL-2022,ASEG-023,VEH-022,PROV-003,Vehículos,Robo,Ambato,2025-10-09,2025-11-11,18126,13054,0,23250,Pendiente,El asegurado reporta colisión en vía pública con daños en la parte frontal del vehículo.,true,1,2025-08-03,2026-08-14,6,7,1,0.64,85,ROJO,"RF-02,RF-01",Reporte tardío del siniestro; Documentación incompleta o ilegible; Historial elevado de reclamos del asegurado,"Se activaron reglas críticas (RF-02,RF-01). El análisis heurístico arrojó un score de 85/100 (Reporte tardío del siniestro; Documentación incompleta o ilegible; Historial elevado de reclamos del asegurado). El modelo ML estimó una probabilidad de fraude del 64% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.",Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1023,POL-2023,ASEG-054,,PROV-005,Hogar,Robo domiciliario,Ambato,2025-11-12,2025-12-23,16684,12462,0,17949,En análisis,Robo domiciliario con sustracción de bienes; denuncia presentada.,true,1,2025-06-07,2026-06-05,8,36,0,0.16,85,ROJO,RF-01,Similitud narrativa con otros siniestros; Documentación incompleta o ilegible; Historial elevado de reclamos del asegurado,Se activaron reglas críticas (RF-01). El análisis heurístico arrojó un score de 85/100 (Similitud narrativa con otros siniestros; Documentación incompleta o ilegible; Historial elevado de reclamos del asegurado). El modelo ML no identificó patrones históricos de alto riesgo (probabilidad 16%). El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1024,POL-2024,ASEG-035,VEH-024,PROV-009,Vehículos,Colisión,Cuenca,2025-10-20,2025-10-28,35256,28908,0,45547,Pendiente,Daños por impacto lateral atribuidos a un tercero no identificado.,true,1,2025-04-01,2026-04-03,4,30,1,0.92,80,ROJO,RF-02,Proveedor con historial recurrente de alertas; Inconsistencia entre el informe pericial y la denuncia; Monto reclamado atípico respecto a la suma asegurada,Se activaron reglas críticas (RF-02). El análisis heurístico arrojó un score de 80/100 (Proveedor con historial recurrente de alertas; Inconsistencia entre el informe pericial y la denuncia; Monto reclamado atípico respecto a la suma asegurada). El modelo ML estimó una probabilidad de fraude del 92% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,false
SIN-2026-1025,POL-2025,ASEG-053,,PROV-007,Vida,Fallecimiento,Loja,2025-10-28,2025-11-28,70399,49843,0,77315,Pendiente,Solicitud de indemnización por invalidez parcial permanente.,false,1,2025-04-04,2026-04-04,2,91,1,0.92,82,ROJO,"RF-01,RF-02",Proveedor con historial recurrente de alertas; Documentación incompleta o ilegible; Reporte tardío del siniestro,"Se activaron reglas críticas (RF-01,RF-02). El análisis heurístico arrojó un score de 82/100 (Proveedor con historial recurrente de alertas; Documentación incompleta o ilegible; Reporte tardío del siniestro). El modelo ML estimó una probabilidad de fraude del 92% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.",Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1026,POL-2026,ASEG-049,,PROV-007,Vida,Renta,Guayaquil,2025-11-07,2025-11-20,67187,54067,0,89189,En análisis,Solicitud de indemnización por invalidez parcial permanente.,false,1,2025-01-06,2026-01-21,5,58,1,0.53,89,ROJO,"RF-02,RF-01",Siniestro ocurrido cerca del inicio de la póliza; Monto reclamado atípico respecto a la suma asegurada; Historial elevado de reclamos del asegurado,"Se activaron reglas críticas (RF-02,RF-01). El análisis heurístico arrojó un score de 89/100 (Siniestro ocurrido cerca del inicio de la póliza; Monto reclamado atípico respecto a la suma asegurada; Historial elevado de reclamos del asegurado). El modelo ML estimó una probabilidad de fraude del 53% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.",Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1027,POL-2027,ASEG-049,VEH-027,PROV-007,Vehículos,Colisión,Quito,2025-11-11,2025-12-28,38177,30448,0,43533,En análisis,El asegurado reporta colisión en vía pública con daños en la parte frontal del vehículo.,false,1,2025-01-04,2026-01-23,6,65,1,0.66,91,ROJO,"RF-04,RF-01",Proveedor con historial recurrente de alertas; Historial elevado de reclamos del asegurado; Siniestro ocurrido cerca del inicio de la póliza,"Se activaron reglas críticas (RF-04,RF-01). El análisis heurístico arrojó un score de 91/100 (Proveedor con historial recurrente de alertas; Historial elevado de reclamos del asegurado; Siniestro ocurrido cerca del inicio de la póliza). El modelo ML estimó una probabilidad de fraude del 66% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.",Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1028,POL-2028,ASEG-023,,PROV-003,Salud,Cirugía,Cuenca,2025-12-02,2025-12-08,28142,20054,0,32142,En análisis,Atención médica de urgencia tras accidente doméstico.,false,1,2025-08-15,2026-08-14,4,16,0,0.24,82,ROJO,RF-01,Similitud narrativa con otros siniestros; Siniestro ocurrido cerca del inicio de la póliza; Monto reclamado atípico respecto a la suma asegurada,Se activaron reglas críticas (RF-01). El análisis heurístico arrojó un score de 82/100 (Similitud narrativa con otros siniestros; Siniestro ocurrido cerca del inicio de la póliza; Monto reclamado atípico respecto a la suma asegurada). El modelo ML no identificó patrones históricos de alto riesgo (probabilidad 24%). El caso presenta riesgo ALTO y requiere revisión prioritaria.,Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
SIN-2026-1029,POL-2029,ASEG-021,,PROV-007,Salud,Hospitalización,Quito,2025-10-15,2025-11-28,11481,9748,0,12599,En análisis,Atención médica de urgencia tras accidente doméstico.,true,1,2025-07-23,2026-07-12,8,8,1,0.98,96,ROJO,"RF-01,RF-02",Monto reclamado atípico respecto a la suma asegurada; Documentación incompleta o ilegible; Reporte tardío del siniestro,"Se activaron reglas críticas (RF-01,RF-02). El análisis heurístico arrojó un score de 96/100 (Monto reclamado atípico respecto a la suma asegurada; Documentación incompleta o ilegible; Reporte tardío del siniestro). El modelo ML estimó una probabilidad de fraude del 98% al comparar con casos históricos similares. El caso presenta riesgo ALTO y requiere revisión prioritaria.",Derivar a investigación especializada y suspender el pago hasta verificación documental.,Este resultado es una estimación de apoyo basada en patrones y no constituye una acusación. Se recomienda priorizar la revisión humana presumiendo la buena fe del asegurado.,true
