id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_proveedor,id_conductor,ramo,cobertura,estado,ciudad,provincia,sucursal,fecha_ocurrencia,fecha_reporte,fecha_inicio_poliza,fecha_fin_poliza,monto_reclamado,monto_estimado,monto_pagado,suma_asegurada,deducible,descripcion,documentos_completos,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,ratio_monto_suma_asegurada,ratio_monto_estimado,diferencia_monto_reclamado_estimado,historial_siniestros_asegurado,historial_siniestros_vehiculo,historial_siniestros_conductor,frecuencia_proveedor,documentos_faltantes,documentos_inconsistentes,proveedor_recurrente,monto_atipico,reporte_tardio,borde_vigencia,flag_borde_vigencia,flag_robo_denuncia_tardia,flag_reporte_tardio,flag_monto_atipico,flag_documentos_incompletos,flag_documentos_inconsistentes,flag_proveedor_recurrente,flag_proveedor_lista_restrictiva,flag_alta_frecuencia_asegurado,flag_alta_frecuencia_vehiculo,flag_alta_frecuencia_conductor,flag_sin_tercero_identificado,flag_dinamica_sospechosa,flag_narrativa_clonada,flag_cobertura_robo_total,score_reglas,nivel_reglas,reglas_activadas,alertas_reglas,explicacion_reglas,etiqueta_fraude_simulada,source_file,mapping_confidence,data_quality_score,limitacion_registro,mensaje_etico_reglas
SIN-B16B5FC7,POL-2315EC88,ASG-F32149EC,,PROV-404C5188,,Vida,Fallecimiento,Cerrado - Rechazado,Curridabat,San José,,2023-06-09,2023-06-30,2023-05-29,2024-08-18,17010700.0,16118400.0,13908600.0,27459000.0,1259300.0,Siniestro ocurrido sin testigos en lugar deshabitado. Nadie vio el incidente.,True,11,436,21,0.6195,1.0554,892300.0,15,0,0,10,0,0,False,False,True,True,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,39,Amarillo,"RF-05, RF-TEMP-01, RF-FREC-01, RF-04, RF-07",RF-05: Siniestro extremo al borde de vigencia (8 pts) | RF-TEMP-01: Reporte tardío (5 pts) | RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-04: Dinámica del accidente físicamente imposible (10 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-B16B5FC7: Sin indicadores de riesgo activos. Puntaje de reglas: 39/100. Nivel: Amarillo.,True,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-06BAC858,POL-7764750C,ASG-F32149EC,VEH-AAFD2988,PROV-12D0F9D5,,Autos,Cristales,Cerrado - Rechazado,San José,San José,,2022-11-07,2022-11-10,2021-10-20,2023-07-21,5574900.0,5430100.0,,14298000.0,601000.0,Caída en escaleras que requirió cirugía de rodilla.,False,383,256,3,0.3899,1.0267,144800.0,15,2,0,6,2,0,False,False,False,False,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,20,Amarillo,"RF-DOC-01, RF-FREC-01, RF-07",RF-DOC-01: Documentos incompletos (4 pts) | RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-06BAC858: Sin indicadores de riesgo activos. Puntaje de reglas: 20/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-4F6355E2,POL-50E437BA,ASG-967620CD,VEH-18FB006D,PROV-12D0F9D5,,Autos,Pérdida Total,En investigación,Santa Ana,San José,,2021-10-21,2021-10-25,2021-07-31,2022-09-03,2546400.0,2781900.0,,4893000.0,115200.0,Hospitalización de emergencia por apendicitis.,True,82,317,4,0.5204,0.9153,-235500.0,3,1,0,6,0,0,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,26,Amarillo,"RF-FREC-01, RF-07, RF-01",RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts) | RF-01: Cobertura Pérdida Total por Robo (10 pts),Siniestro SIN-4F6355E2: Sin indicadores de riesgo activos. Puntaje de reglas: 26/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-1DF5C123,POL-C496B528,ASG-992EF204,,PROV-FE47152E,,Vida,Fallecimiento,Cerrado - Pagado,Escazú,San José,,2024-02-24,2024-02-24,2023-01-03,2024-08-06,13833500.0,12178500.0,11984600.0,35888000.0,2703700.0,Robo de moto en estacionamiento público.,True,417,164,0,0.3855,1.1359,1655000.0,4,0,0,6,0,0,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,Verde,"RF-FREC-01, RF-07",RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-1DF5C123: Sin indicadores de riesgo activos. Puntaje de reglas: 16/100. Nivel: Verde.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-FE828ED8,POL-96A3F359,ASG-F32149EC,,PROV-6F81CC22,,Vida,Invalidez Parcial,Cerrado - Rechazado,Puntarenas,Puntarenas,,2024-05-09,2024-06-01,2022-07-14,2024-05-17,10322000.0,10332300.0,9762300.0,10910000.0,951800.0,Daños no coinciden con el tipo de accidente descrito. Vehículo en el aire según relato.,True,665,8,23,0.9461,0.999,-10300.0,15,0,0,12,0,0,True,True,True,True,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,55,Rojo,"RF-05, RF-TEMP-01, RF-MONTO-01, RF-PROV-01, RF-FREC-01, RF-DIN-01, RF-04, RF-07",RF-05: Siniestro extremo al borde de vigencia (8 pts) | RF-TEMP-01: Reporte tardío (5 pts) | RF-MONTO-01: Monto reclamado atípico (5 pts) | RF-PROV-01: Proveedor recurrente (5 pts) | RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-DIN-01: Siniestro severo sin tercero identificado (6 pts) | RF-04: Dinámica del accidente físicamente imposible (10 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-FE828ED8: Sin indicadores de riesgo activos. Puntaje de reglas: 55/100. Nivel: Rojo.,True,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-E9AFEAC3,POL-58C689A7,ASG-2457E84E,,PROV-141A45D7,,Vida,Invalidez Parcial,Abierto,Liberia,Guanacaste,,2023-03-07,2023-03-09,2022-11-29,2024-10-23,17541000.0,12735800.0,,27300000.0,1494900.0,Caída en escaleras que requirió cirugía de rodilla.,True,98,596,2,0.6425,1.3773,4805200.0,5,0,0,7,0,0,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,Verde,"RF-FREC-01, RF-07",RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-E9AFEAC3: Sin indicadores de riesgo activos. Puntaje de reglas: 16/100. Nivel: Verde.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-02E434D2,POL-9BF78939,ASG-42E5E879,VEH-AAD94E8B,PROV-99984CFF,,Autos,Responsabilidad Civil,Abierto,Limón,Limón,,2023-04-26,2023-05-01,2022-09-14,2024-05-31,2024600.0,2235300.0,2009500.0,22955000.0,666100.0,Caída en escaleras que requirió cirugía de rodilla.,True,224,401,5,0.0882,0.9057,-210700.0,7,2,0,11,0,0,True,False,False,False,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,21,Amarillo,"RF-PROV-01, RF-FREC-01, RF-07",RF-PROV-01: Proveedor recurrente (5 pts) | RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-02E434D2: Sin indicadores de riesgo activos. Puntaje de reglas: 21/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-1407E715,POL-AC47F6E1,ASG-2457E84E,VEH-D83FDE15,PROV-AF3CAD77,,Autos,Robo Parcial,Cerrado - Rechazado,Desamparados,San José,,2022-06-30,2022-07-02,2021-08-30,2023-04-15,6988500.0,5714500.0,4841700.0,15495000.0,1137700.0,Robo del vehículo en zona comercial durante horas nocturnas. Se presentó denuncia policial.,True,304,289,2,0.451,1.2229,1274000.0,5,5,0,16,0,0,True,False,False,False,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,27,Amarillo,"RF-PROV-01, RF-FREC-01, RF-FREC-02, RF-07",RF-PROV-01: Proveedor recurrente (5 pts) | RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-FREC-02: Alta frecuencia vehículo (6 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-1407E715: Sin indicadores de riesgo activos. Puntaje de reglas: 27/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-9692CF25,POL-CC833B7C,ASG-F32149EC,VEH-58F14EFF,PROV-AF3CAD77,,Autos,Daños a Terceros,En investigación,Santa Ana,San José,,2021-06-04,2021-06-23,2021-06-02,2023-03-08,40057900.0,44245600.0,43012900.0,42962000.0,3948800.0,El vehículo fue encontrado abandonado. No hay tercero identificado ni testigos.,False,2,642,19,0.9324,0.9054,-4187700.0,15,1,0,16,2,0,True,True,True,True,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,49,Rojo,"RF-05, RF-TEMP-01, RF-MONTO-01, RF-DOC-01, RF-PROV-01, RF-FREC-01, RF-DIN-01, RF-07",RF-05: Siniestro extremo al borde de vigencia (8 pts) | RF-TEMP-01: Reporte tardío (5 pts) | RF-MONTO-01: Monto reclamado atípico (5 pts) | RF-DOC-01: Documentos incompletos (4 pts) | RF-PROV-01: Proveedor recurrente (5 pts) | RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-DIN-01: Siniestro severo sin tercero identificado (6 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-9692CF25: Sin indicadores de riesgo activos. Puntaje de reglas: 49/100. Nivel: Rojo.,True,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-AB510C8B,POL-36A90126,ASG-F4A59C3F,VEH-EF76B339,PROV-C70010FB,,Autos,Daños a Terceros,Abierto,Liberia,Guanacaste,,2022-07-03,2022-07-04,2022-03-03,2024-01-06,16632800.0,17188800.0,16732200.0,26537000.0,2273700.0,Robo del vehículo en zona comercial durante horas nocturnas. Se presentó denuncia policial.,True,122,552,1,0.6268,0.9677,-556000.0,7,3,0,9,0,0,False,False,False,False,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,22,Amarillo,"RF-FREC-01, RF-FREC-02, RF-07",RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-FREC-02: Alta frecuencia vehículo (6 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-AB510C8B: Sin indicadores de riesgo activos. Puntaje de reglas: 22/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-2324608C,POL-0A503C36,ASG-F75CE647,VEH-F01E5951,PROV-8F2CAF90,,Autos,Robo Total,En investigación,Escazú,San José,,2024-03-03,2024-03-07,2022-12-23,2024-11-26,2062300.0,2349200.0,2084600.0,7477000.0,531900.0,Incendio en cocina del hogar con daños menores.,True,436,268,4,0.2758,0.8779,-286900.0,11,1,0,7,0,0,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,26,Amarillo,"RF-FREC-01, RF-07, RF-01",RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts) | RF-01: Cobertura Pérdida Total por Robo (10 pts),Siniestro SIN-2324608C: Sin indicadores de riesgo activos. Puntaje de reglas: 26/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-A86FE274,POL-4F13CEDB,ASG-48B7CA52,VEH-FBED5276,PROV-DA424E91,,Autos,Responsabilidad Civil,Cerrado - Pagado,Limón,Limón,,2021-09-25,2021-09-30,2021-01-03,2022-02-19,13839600.0,12164600.0,11738500.0,22801000.0,1358400.0,Daño en parabrisas por piedra proyectada desde camión.,True,265,147,5,0.607,1.1377,1675000.0,7,2,0,4,0,0,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,Verde,"RF-FREC-01, RF-07",RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-A86FE274: Sin indicadores de riesgo activos. Puntaje de reglas: 16/100. Nivel: Verde.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
SIN-221AA0C6,POL-FCE561AA,ASG-2457E84E,VEH-F38AE431,PROV-B32C89D4,,Autos,Robo Parcial,Abierto,Tibás,San José,,2022-07-10,2022-07-12,2021-11-18,2023-02-16,8090200.0,9186400.0,7947900.0,16409000.0,696100.0,Incendio en cocina del hogar con daños menores.,True,234,221,2,0.493,0.8807,-1096200.0,5,5,0,4,0,0,False,False,False,False,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,22,Amarillo,"RF-FREC-01, RF-FREC-02, RF-07",RF-FREC-01: Alta frecuencia asegurado (8 pts) | RF-FREC-02: Alta frecuencia vehículo (6 pts) | RF-07: Narrativa idéntica o clonada (8 pts),Siniestro SIN-221AA0C6: Sin indicadores de riesgo activos. Puntaje de reglas: 22/100. Nivel: Amarillo.,False,claims_sinteticos.csv,0.99,1.0,,AVISO: Este puntaje es generado por un sistema automatizado de detección de patrones de riesgo basado en reglas estadísticas. No constituye una acusación de fraude. Toda decisión final debe ser tomada por un profesional calificado tras una investigación completa e imparcial del caso.
